SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22023,1610612738,BOS,Boston Celtics,0022300955,2024-03-14,BOS vs. PHX,W,240,127,47,89,0.528,25,50,0.5,8,11,0.727,6,27,33,31,12,5,8,13,15.0
22023,1610612738,BOS,Boston Celtics,0022300943,2024-03-12,BOS @ UTA,W,241,123,43,92,0.467,20,49,0.408,17,19,0.895,14,32,46,25,5,8,8,14,16.0
22023,1610612738,BOS,Boston Celtics,0022300938,2024-03-11,BOS @ POR,W,241,121,49,100,0.49,15,40,0.375,8,12,0.667,14,31,45,34,7,10,3,11,22.0
22023,1610612738,BOS,Boston Celtics,0022300920,2024-03-09,BOS @ PHX,W,240,117,46,94,0.489,15,39,0.385,10,13,0.769,13,30,43,29,7,4,12,12,10.0
22023,1610612738,BOS,Boston Celtics,0022300906,2024-03-07,BOS @ DEN,L,240,109,41,91,0.451,11,38,0.289,16,25,0.64,13,34,47,24,6,3,12,18,-6.0
22023,1610612738,BOS,Boston Celtics,0022300886,2024-03-05,BOS @ CLE,L,241,104,39,93,0.419,15,38,0.395,11,12,0.917,14,39,53,24,6,9,13,13,-1.0
22023,1610612738,BOS,Boston Celtics,0022300872,2024-03-03,BOS vs. GSW,W,240,140,53,96,0.552,25,49,0.51,9,11,0.818,7,44,51,35,10,5,7,19,52.0
22023,1610612738,BOS,Boston Celtics,0022300859,2024-03-01,BOS vs. DAL,W,240,138,52,94,0.553,21,43,0.488,13,13,1.0,9,38,47,33,4,8,9,15,28.0
22023,1610612738,BOS,Boston Celtics,0022300836,2024-02-27,BOS vs. PHI,W,240,117,39,74,0.527,5,22,0.227,34,37,0.919,9,47,56,21,7,9,14,16,18.0
22023,1610612738,BOS,Boston Celtics,0022300816,2024-02-24,BOS @ NYK,W,239,116,46,81,0.568,15,35,0.429,9,12,0.75,11,25,36,27,8,4,7,16,14.0
22023,1610612738,BOS,Boston Celtics,0022300797,2024-02-22,BOS @ CHI,W,240,129,45,83,0.542,23,47,0.489,16,21,0.762,5,31,36,27,10,11,13,16,17.0
22023,1610612738,BOS,Boston Celtics,0022300780,2024-02-14,BOS vs. BKN,W,240,136,52,91,0.571,22,45,0.489,10,12,0.833,10,41,51,32,6,5,8,13,50.0
