SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22022,1610612738,BOS,Boston Celtics,0022201216,2023-04-09,BOS vs. ATL,W,240,120,42,89,0.472,25,54,0.463,11,14,0.786,12,35,47,33,5,3,15,13,6.0
22022,1610612738,BOS,Boston Celtics,0022201206,2023-04-07,BOS vs. TOR,W,242,121,45,81,0.556,15,44,0.341,16,21,0.762,13,40,53,37,4,7,19,14,19.0
22022,1610612738,BOS,Boston Celtics,0022201192,2023-04-05,BOS vs. TOR,W,241,97,38,89,0.427,11,38,0.289,10,18,0.556,11,37,48,20,5,7,15,14,4.0
22022,1610612738,BOS,Boston Celtics,0022201181,2023-04-04,BOS @ PHI,L,240,101,38,91,0.418,15,45,0.333,10,16,0.625,13,30,43,28,4,4,8,17,-2.0
22022,1610612738,BOS,Boston Celtics,0022201152,2023-03-31,BOS vs. UTA,W,241,122,42,96,0.438,17,51,0.333,21,22,0.955,10,32,42,27,8,4,11,14,8.0
22022,1610612738,BOS,Boston Celtics,0022201146,2023-03-30,BOS @ MIL,W,241,140,51,91,0.56,22,43,0.512,16,20,0.8,7,40,47,28,8,5,8,18,41.0
22022,1610612738,BOS,Boston Celtics,0022201130,2023-03-28,BOS @ WAS,L,239,111,45,93,0.484,11,44,0.25,10,11,0.909,7,31,38,29,5,8,12,14,-19.0
22022,1610612738,BOS,Boston Celtics,0022201116,2023-03-26,BOS vs. SAS,W,241,137,52,91,0.571,18,44,0.409,15,21,0.714,9,52,61,29,4,11,14,18,44.0
22022,1610612738,BOS,Boston Celtics,0022201097,2023-03-24,BOS vs. IND,W,241,120,44,93,0.473,18,42,0.429,14,19,0.737,9,40,49,28,11,6,14,15,25.0
22022,1610612738,BOS,Boston Celtics,0022201081,2023-03-21,BOS @ SAC,W,241,132,49,92,0.533,18,44,0.409,16,23,0.696,11,32,43,33,9,3,5,15,23.0
22022,1610612738,BOS,Boston Celtics,0022201062,2023-03-18,BOS @ UTA,L,242,117,42,88,0.477,22,51,0.431,11,16,0.688,5,35,40,30,2,2,6,17,-1.0
22022,1610612738,BOS,Boston Celtics,0022201053,2023-03-17,BOS @ POR,W,241,126,41,87,0.471,15,42,0.357,29,35,0.829,18,34,52,29,12,2,16,19,14.0
22022,1610612738,BOS,Boston Celtics,0022201039,2023-03-15,BOS @ MIN,W,240,104,34,84,0.405,12,40,0.3,24,30,0.8,8,36,44,20,7,5,9,22,2.0
22022,1610612738,BOS,Boston Celtics,0022201024,2023-03-13,BOS @ HOU,L,240,109,39,87,0.448,12,42,0.286,19,21,0.905,10,28,38,19,7,5,13,22,-2.0
22022,1610612738,BOS,Boston Celtics,0022201008,2023-03-11,BOS @ ATL,W,239,134,52,95,0.547,20,42,0.476,10,12,0.833,5,35,40,35,6,6,8,21,9.0
22022,1610612738,BOS,Boston Celtics,0022200986,2023-03-08,BOS vs. POR,W,241,115,42,88,0.477,18,49,0.367,13,20,0.65,5,40,45,26,9,2,10,20,22.0
22022,1610612738,BOS,Boston Celtics,0022200971,2023-03-06,BOS @ CLE,L,265,114,42,101,0.416,16,48,0.333,14,21,0.667,15,37,52,25,5,5,12,21,-4.0
22022,1610612738,BOS,Boston Celtics,0022200969,2023-03-05,BOS vs. NYK,L,289,129,43,109,0.394,21,59,0.356,22,25,0.88,17,37,54,27,8,5,16,28,-2.0
22022,1610612738,BOS,Boston Celtics,0022200948,2023-03-03,BOS vs. BKN,L,240,105,41,84,0.488,9,29,0.31,14,20,0.7,9,39,48,26,8,8,19,19,-10.0
22022,1610612738,BOS,Boston Celtics,0022200935,2023-03-01,BOS vs. CLE,W,241,117,39,78,0.5,16,32,0.5,23,28,0.821,7,36,43,27,5,4,12,18,4.0
22022,1610612738,BOS,Boston Celtics,0022200921,2023-02-27,BOS @ NYK,L,242,94,37,84,0.44,9,42,0.214,11,14,0.786,7,28,35,21,5,8,11,22,-15.0
22022,1610612738,BOS,Boston Celtics,0022200908,2023-02-25,BOS @ PHI,W,239,110,43,86,0.5,16,36,0.444,8,12,0.667,9,35,44,20,6,4,12,22,3.0
22022,1610612738,BOS,Boston Celtics,0022200887,2023-02-23,BOS @ IND,W,266,142,51,99,0.515,18,39,0.462,22,26,0.846,20,31,51,31,7,6,15,18,4.0
22022,1610612738,BOS,Boston Celtics,0022200877,2023-02-15,BOS vs. DET,W,240,127,49,92,0.533,21,45,0.467,8,10,0.8,8,35,43,30,10,5,11,18,18.0
22022,1610612738,BOS,Boston Celtics,0022200869,2023-02-14,BOS @ MIL,L,266,125,46,99,0.465,17,50,0.34,16,20,0.8,8,36,44,28,8,1,13,26,-6.0
22022,1610612738,BOS,Boston Celtics,0022200855,2023-02-12,BOS vs. MEM,W,239,119,39,88,0.443,21,51,0.412,20,26,0.769,15,40,55,28,5,3,10,14,10.0
22022,1610612738,BOS,Boston Celtics,0022200838,2023-02-10,BOS vs. CHA,W,241,127,44,89,0.494,25,55,0.455,14,17,0.824,5,38,43,34,7,7,15,22,11.0
22022,1610612738,BOS,Boston Celtics,0022200824,2023-02-08,BOS vs. PHI,W,239,106,40,76,0.526,19,35,0.543,7,10,0.7,5,39,44,25,2,5,13,19,7.0
22022,1610612738,BOS,Boston Celtics,0022200808,2023-02-06,BOS @ DET,W,240,111,39,83,0.47,16,37,0.432,17,21,0.81,10,41,51,25,2,5,11,22,12.0
