assists_diff,assistsTurnoverRatio_diff,benchPoints_diff,biggestLead_diff,biggestScoringRun_diff,blocks_diff,blocksReceived_diff,fastBreakPointsAttempted_diff,fastBreakPointsMade_diff,fastBreakPointsPercentage_diff,fieldGoalsAttempted_diff,fieldGoalsEffectiveAdjusted_diff,fieldGoalsMade_diff,fieldGoalsPercentage_diff,foulsOffensive_diff,foulsDrawn_diff,foulsPersonal_diff,foulsTeam_diff,foulsTechnical_diff,foulsTeamTechnical_diff,freeThrowsAttempted_diff,freeThrowsMade_diff,freeThrowsPercentage_diff,leadChanges_diff,points_diff,pointsAgainst_diff,pointsFastBreak_diff,pointsFromTurnovers_diff,pointsInThePaint_diff,pointsInThePaintAttempted_diff,pointsInThePaintMade_diff,pointsInThePaintPercentage_diff,pointsSecondChance_diff,reboundsDefensive_diff,reboundsOffensive_diff,reboundsPersonal_diff,reboundsTeam_diff,reboundsTeamDefensive_diff,reboundsTeamOffensive_diff,reboundsTotal_diff,secondChancePointsAttempted_diff,secondChancePointsMade_diff,secondChancePointsPercentage_diff,steals_diff,threePointersAttempted_diff,threePointersMade_diff,threePointersPercentage_diff,timesTied_diff,trueShootingAttempts_diff,trueShootingPercentage_diff,turnovers_diff,turnoversTeam_diff,turnoversTotal_diff,twoPointersAttempted_diff,twoPointersMade_diff,twoPointersPercentage_diff,assists_ratio,assistsTurnoverRatio_ratio,benchPoints_ratio,biggestLead_ratio,biggestScoringRun_ratio,blocks_ratio,blocksReceived_ratio,fastBreakPointsAttempted_ratio,fastBreakPointsMade_ratio,fastBreakPointsPercentage_ratio,fieldGoalsAttempted_ratio,fieldGoalsEffectiveAdjusted_ratio,fieldGoalsMade_ratio,fieldGoalsPercentage_ratio,foulsOffensive_ratio,foulsDrawn_ratio,foulsPersonal_ratio,foulsTeam_ratio,foulsTechnical_ratio,foulsTeamTechnical_ratio,freeThrowsAttempted_ratio,freeThrowsMade_ratio,freeThrowsPercentage_ratio,leadChanges_ratio,points_ratio,pointsAgainst_ratio,pointsFastBreak_ratio,pointsFromTurnovers_ratio,pointsInThePaint_ratio,pointsInThePaintAttempted_ratio,pointsInThePaintMade_ratio,pointsInThePaintPercentage_ratio,pointsSecondChance_ratio,reboundsDefensive_ratio,reboundsOffensive_ratio,reboundsPersonal_ratio,reboundsTeam_ratio,reboundsTeamDefensive_ratio,reboundsTeamOffensive_ratio,reboundsTotal_ratio,secondChancePointsAttempted_ratio,secondChancePointsMade_ratio,secondChancePointsPercentage_ratio,steals_ratio,threePointersAttempted_ratio,threePointersMade_ratio,threePointersPercentage_ratio,timesTied_ratio,trueShootingAttempts_ratio,trueShootingPercentage_ratio,turnovers_ratio,turnoversTeam_ratio,turnoversTotal_ratio,twoPointersAttempted_ratio,twoPointersMade_ratio,twoPointersPercentage_ratio
1,0.49650349650350023,4,14,1,7,-2,5,3,-0.047619047619048005,4,0.007981492192019046,-1,-0.030884904569116023,-1,-1,-8,-7,0,0,-7,-6,-0.0038461538461539435,8,0,-18,7,0,-10,-7,-5,-0.03065774804905197,0,8,1,9,-2,0,-2,7,2,0,-0.07142857142857101,2,12,8,0.07060121345835696,3,0.9200000000000017,-0.005445760464535043,-1,-1,-2,-8,-9,-0.09903381642512105,1.0344827586206897,1.2225705329153622,1.2666666666666666,1.9333333333333333,1.125,7.999999999999998,0.6,1.7142857142857142,1.6,0.9333333333333325,1.043956043956044,1.014241486068112,0.9772727272727273,0.9361244019138734,0.0,0.9375,0.5294117647058824,0.5625,0.0,0.0,0.65,0.6470588235294118,0.9954751131221715,3.602879701896397e+16,1.0,0.8392857142857143,1.5833333333333333,1.0,0.8,0.8478260869565217,0.8,0.943589743589744,1.0,1.2666666666666666,1.0714285714285714,1.2045454545454546,0.75,1.0,0.6666666666666666,1.1346153846153846,1.1666666666666667,1.0,0.8571428571428577,1.3333333333333333,1.3243243243243243,1.5714285714285714,1.1865889212828,1.3510798882111488e+16,1.0092184368737476,0.9908657664813342,0.9,0.6666666666666666,0.8461538461538461,0.8518518518518519,0.7,0.821739130434782
11,0.8125,19,27,1,-3,0,4,2,-0.025974025974026094,1,0.137997861534349,6,0.06402031542368303,1,0,-4,-5,1,0,8,7,0.020833333333334036,-20,32,13,6,9,-8,-9,-4,0.048262548262547944,15,-11,2,-9,0,0,0,-9,0,4,0.33333333333333304,1,11,13,0.197948717948718,-10,4.519999999999996,0.13960146050299793,0,-1,-1,-10,-7,-0.03967797584818811,1.5789473684210527,1.6842105263157892,1.826086956521739,4.0,1.1111111111111112,0.6666666666666666,1.0,1.5714285714285714,1.5,0.9545454545454539,1.0116279069767442,1.279242731575388,1.162162162162162,1.1488039763901816,1.3333333333333333,1.0,0.8095238095238095,0.7222222222222222,4503599627370496.0,0.0,1.5,1.5384615384615385,1.0256410256410262,0.0,1.3265306122448979,1.1428571428571428,1.5,1.6923076923076923,0.8181818181818182,0.7567567567567568,0.8181818181818182,1.0811688311688301,3.142857142857143,0.7380952380952381,1.2,0.8269230769230769,1.0,1.0,1.0,0.85,1.0,2.3333333333333335,2.33333333333333,1.125,1.2820512820512822,2.1818181818181817,1.7018181818181808,0.23076923076923078,1.0485812553740326,1.2650718343918146,1.0,0.5,0.9375,0.7872340425531915,0.7307692307692307,0.9282744282744289
15,2.03333333333333,-2,-2,0,4,1,-2,0,0.10714285714285698,2,0.19727495802660405,9,0.09130827844504696,1,-7,-5,-6,0,0,-15,-15,-0.15734265734265684,-4,22,19,5,-5,-18,-12,-9,-0.038383838383838076,-5,-8,-9,-17,1,1,0,-16,-8,-2,0.23809523809523697,1,21,19,0.293103448275862,2,-4.599999999999994,0.14336392826126798,-4,-1,-5,-19,-10,0.012378426171529955,1.9375,2.9062499999999902,0.9,0.9090909090909091,1.0,4.999999999999999,1.5,0.8571428571428571,1.0,1.166666666666666,1.0229885057471264,1.418607837763769,1.236842105263158,1.2090479006505017,4503599627370496.0,0.631578947368421,0.7222222222222222,0.6666666666666666,0.0,0.0,0.4230769230769231,0.34782608695652173,0.8221343873517789,0.42857142857142855,1.2095238095238094,1.2043010752688172,1.263157894736842,0.782608695652174,0.6896551724137931,0.7333333333333333,0.6896551724137931,0.9404388714733544,0.6875,0.7714285714285715,0.4,0.66,1.2,1.9999999999999996,1.0,0.7090909090909091,0.42857142857142855,0.6666666666666666,1.5555555555555516,1.0909090909090908,1.7241379310344827,4.166666666666667,2.416666666666663,2.9999999999999996,0.9532710280373833,1.2688141923436036,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6724137931034483,0.6875,1.0224358974358976
-7,0.31623931623932,-11,-11,8,4,3,3,0,-0.20454545454545503,13,-0.018849752339020975,3,-0.038937809576225,-1,2,-1,0,0,0,4,5,0.09473684210526301,6,17,28,-5,1,-2,2,-1,-0.06839826839826901,10,-10,5,-5,0,0,0,-5,7,4,0.029411764705882026,1,9,6,0.058163265306122036,0,14.760000000000005,-0.006364936695187007,-4,0,-4,4,-3,-0.1317829457364339,0.78125,1.1284722222222239,0.6333333333333333,0.6666666666666666,1.6666666666666667,2.0,1.75,1.375,1.0,0.7272727272727264,1.1645569620253164,0.9683163737280283,1.075,0.9230978260869552,0.6666666666666666,1.125,0.9333333333333333,1.0,0.0,0.0,1.2666666666666666,1.4166666666666667,1.1184210526315785,2.7021597764222976e+16,1.1603773584905661,1.3544303797468353,0.7368421052631579,1.0666666666666667,0.9565217391304348,1.0606060606060606,0.9565217391304348,0.9018633540372659,1.8333333333333333,0.7619047619047619,1.5555555555555556,0.9019607843137255,1.0,1.0,1.0,0.9137931034482759,1.7,1.8,1.0588235294117636,1.25,1.225,1.4285714285714286,1.1661807580174908,0.0,1.1724299065420563,0.9897200267715467,0.6666666666666666,0.9999999999999998,0.6923076923076923,1.1025641025641026,0.8846153846153846,0.8023255813953487
15,10.428571428571395,16,19,1,5,0,10,8,0.21428571428571397,20,0.18374999999999997,23,0.16499999999999998,-3,-7,-3,0,-2,0,-4,-4,-0.08333333333333404,-1,48,20,18,0,30,17,15,0.14349489795918402,2,-3,-2,-5,1,1,0,-4,2,2,0.08035714285714302,-2,0,6,0.15,-4,18.239999999999995,0.155310628240658,-16,-2,-18,20,17,0.141666666666667,1.7894736842105263,12.52631578947364,1.8421052631578947,4.8,1.1,2.0,1.0,3.5,5.0,1.4285714285714273,1.25,1.4819672131147532,1.8846153846153846,1.5076923076923066,0.0,0.6111111111111112,0.7857142857142857,1.0,0.0,0.0,0.75,0.6666666666666666,0.8888888888888877,0.8,1.6575342465753424,1.2531645569620253,4.6,1.0,2.0,1.53125,2.0,1.306122448979592,1.1333333333333333,0.9117647058823529,0.875,0.9,1.1,1.5,1.0,0.9333333333333333,1.1428571428571428,1.4,1.2249999999999999,0.7777777777777778,1.0,1.6666666666666667,1.666666666666665,0.2,1.2095588235294117,1.3703626597826535,0.15789473684210525,0.0,0.14285714285714285,1.5,2.0,1.3333333333333335
9,1.16666666666667,5,-11,0,-6,-9,-3,-1,0.09999999999999998,15,-0.013129544842444996,8,0.008349043899812059,0,2,-2,-2,0,-1,5,4,0.01923076923076905,4,19,33,-2,14,24,10,12,0.15131578947368401,3,-2,2,0,-1,-3,2,-1,2,1,-0.01666666666666694,0,6,-1,-0.10023310023309995,8,17.200000000000003,-0.007152844250864043,-3,-1,-4,9,9,0.08537549407114703,1.45,1.9333333333333358,1.2272727272727273,0.5769230769230769,1.0,0.4,0.1,0.625,0.75,1.1999999999999995,1.1898734177215189,0.9774514338575397,1.2105263157894737,1.0173572228443457,0.9999999999999998,1.1666666666666667,0.8571428571428571,0.8461538461538461,0.9999999999999998,0.0,1.625,1.6666666666666667,1.025641025641025,1.8014398509481984e+16,1.1938775510204083,1.445945945945946,0.7777777777777778,8.0,1.6666666666666667,1.263157894736842,1.6666666666666667,1.3194444444444433,1.2142857142857142,0.9375,1.1818181818181819,1.0,0.875,0.4,1.6666666666666667,0.9803921568627451,1.2,1.1666666666666667,0.9722222222222214,1.0,1.1818181818181819,0.9375,0.7932692307692311,3.602879701896397e+16,1.2084343189529811,0.9879540263758915,0.8,0.0,0.75,1.1956521739130435,1.4090909090909092,1.1785123966942161
-3,-0.25,-24,5,-2,-3,-1,1,-4,-0.401515151515151,-8,0.046342546342545976,3,0.06671106671106697,-1,6,0,1,2,1,14,8,-0.08727272727272706,2,9,-1,-14,-3,14,8,7,0.06321553011448505,-4,11,-4,7,0,-1,1,7,-1,-1,-0.04166666666666702,-2,-14,-5,-0.018218623481781993,4,-1.8400000000000034,0.052803710081875954,1,-1,0,6,8,0.09795262946607802,0.8888888888888888,0.8888888888888888,0.29411764705882354,2.251799813685248e+16,0.8,0.5,0.8,1.0909090909090908,0.5555555555555556,0.5092592592592596,0.9191919191919192,1.0997372193024353,1.0789473684210527,1.1737998843262,0.5,1.4615384615384615,1.0,1.0625,9007199254740992.0,4503599627370496.0,2.272727272727273,2.0,0.88,9007199254740992.0,1.09,0.9913793103448276,0.44,0.6666666666666666,1.35,1.1951219512195121,1.35,1.129591836734694,0.7333333333333333,1.4782608695652173,0.7647058823529411,1.175,1.0,0.6666666666666666,1.1666666666666667,1.1428571428571428,0.9375,0.8333333333333334,0.8888888888888874,0.75,0.7307692307692307,0.6875,0.940789473684208,3.0,0.9822804314329737,1.1096627450980396,1.0909090909090908,0.0,1.0,1.127659574468085,1.3636363636363635,1.2092624356775297
-8,-0.82051282051282,-26,7,1,0,-2,9,1,-0.615384615384615,7,-0.081395348837209,-3,-0.06901725431357897,1,-1,0,-1,0,0,2,4,0.216666666666666,3,-3,7,1,5,6,12,3,-0.08333333333333304,4,2,4,6,2,2,0,8,2,2,0.12121212121212205,-2,-1,-1,-0.015519568151147023,1,7.8799999999999955,-0.06271363019150611,4,-3,1,8,-2,-0.11682785299806608,0.75,0.6923076923076927,0.4090909090909091,1.4666666666666666,1.0769230769230769,1.0,0.6,3.25,1.25,0.3846153846153849,1.0813953488372092,0.8600000000000001,0.9285714285714286,0.8586789554531474,4503599627370496.0,0.9090909090909091,1.0,0.9230769230769231,0.0,0.0,1.2,1.5714285714285714,1.3095238095238082,1.6,0.9719626168224299,1.0714285714285714,1.0909090909090908,1.3571428571428572,1.1428571428571428,1.3333333333333333,1.1428571428571428,0.8571428571428572,1.5,1.054054054054054,1.4,1.127659574468085,1.2857142857142858,2.0,1.0,1.1481481481481481,1.2222222222222223,1.6666666666666667,1.3636363636363655,0.75,0.9743589743589743,0.9375,0.9621710526315785,1.3333333333333333,1.0871681415929202,0.8940315482371557,1.4444444444444444,0.0,1.0833333333333333,1.1702127659574468,0.9230769230769231,0.7888111888111878
12,2.60576923076923,23,56,0,2,-2,4,9,0.36250000000000004,1,0.25071271929824596,18,0.18366228070175405,1,-6,4,3,0,1,-13,-8,0.10984848484848397,4,41,-22,26,3,10,-7,5,0.19387755102040805,-7,5,-10,-5,-7,-2,-5,-12,-7,-2,0.09999999999999998,3,10,13,0.20251177394034497,4,-4.719999999999999,0.22524135646323007,-5,0,-5,-9,5,0.18503039513677805,1.5217391304347827,2.47282608695652,1.696969696969697,2.5220157913274778e+17,1.0,1.6666666666666667,0.6,1.25,2.2857142857142856,1.8285714285714278,1.0105263157894737,1.5809197154471546,1.5142857142857142,1.4985119047619029,1.9999999999999996,0.6842105263157895,1.2666666666666666,1.2142857142857142,0.0,4503599627370496.0,0.4583333333333333,0.5294117647058824,1.1550802139037415,1.8014398509481984e+16,1.4141414141414141,0.8,2.625,1.25,1.2272727272727273,0.8571428571428571,1.2272727272727273,1.4318181818181805,0.5625,1.1282051282051282,0.4117647058823529,0.9107142857142857,0.36363636363636365,0.3333333333333333,0.375,0.8208955223880597,0.5333333333333333,0.6666666666666666,1.2499999999999993,1.4285714285714286,1.2564102564102564,2.0833333333333335,1.6581632653061193,1.8014398509481984e+16,0.9552860932171278,1.4803328805708793,0.5833333333333334,0.9999999999999998,0.6153846153846154,0.8392857142857143,1.2173913043478262,1.4505087881591108
6,1.5897435897435899,11,23,-2,3,-1,2,2,0.0952380952380949,11,0.207062291720071,21,0.17969751345808804,-2,-9,-5,-3,0,0,-10,-3,0.304347826086956,-4,46,-5,7,-6,36,17,18,0.22460317460317497,2,13,-4,9,-8,0,-8,1,-1,3,0.377777777777778,-2,-3,7,0.18402426693629897,-2,6.599999999999994,0.197951170493877,-2,-2,-4,14,14,0.14838367779544204,1.2222222222222223,1.765432098765431,1.5,5.6,0.8,1.6,0.8,1.2857142857142858,1.5,1.1666666666666656,1.1325301204819278,1.452267637178049,1.6774193548387097,1.481125600549074,0.3333333333333333,0.5714285714285714,0.75,0.8235294117647058,0.0,0.0,0.5652173913043478,0.8125,1.4374999999999984,0.2,1.5,0.9565217391304348,1.6363636363636365,0.6842105263157895,2.3846153846153846,1.6071428571428572,2.3846153846153846,1.483760683760684,1.1538461538461537,1.52,0.6923076923076923,1.236842105263158,0.3333333333333333,1.0,0.1111111111111111,1.02,0.9,1.75,1.9444444444444438,0.6666666666666666,0.9347826086956522,1.5,1.6046511627906945,0.3333333333333333,1.0708762886597938,1.4007220216606475,0.8181818181818182,0.0,0.6923076923076923,1.3783783783783783,1.8235294117647058,1.322952710495961
