,assists,assistsTurnoverRatio,benchPoints,biggestLead,biggestLeadScore,biggestScoringRun,biggestScoringRunScore,blocks,blocksReceived,fastBreakPointsAttempted,fastBreakPointsMade,fastBreakPointsPercentage,fieldGoalsAttempted,fieldGoalsEffectiveAdjusted,fieldGoalsMade,fieldGoalsPercentage,foulsOffensive,foulsDrawn,foulsPersonal,foulsTeam,foulsTechnical,foulsTeamTechnical,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,leadChanges,minutes,minutesCalculated,points,pointsAgainst,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsInThePaintAttempted,pointsInThePaintMade,pointsInThePaintPercentage,pointsSecondChance,reboundsDefensive,reboundsOffensive,reboundsPersonal,reboundsTeam,reboundsTeamDefensive,reboundsTeamOffensive,reboundsTotal,secondChancePointsAttempted,secondChancePointsMade,secondChancePointsPercentage,steals,threePointersAttempted,threePointersMade,threePointersPercentage,timeLeading,timesTied,trueShootingAttempts,trueShootingPercentage,turnovers,turnoversTeam,turnoversTotal,twoPointersAttempted,twoPointersMade,twoPointersPercentage,BOS,Opppnent,WL
0,31,3.1,18,20,75-95,11,65-79,5,3,12,9,0.75,89,0.668539325842696,47,0.528089887640449,1,12,13,12,0,0,11,8,0.7272727272727271,3,PT240M00.00S,PT240M,127,112,24,18,40,33,20,0.606060606060606,11,27,6,33,6,2,4,39,6,4,0.666666666666666,12,50,25,0.5,PT35M56.00S,3,93.84,0.676683716965047,8,2,10,39,22,0.564102564102564,127,112,1
1,25,2.77777777777778,19,22,113-91,20,113-91,8,7,11,6,0.545454545454545,92,0.576086956521739,43,0.467391304347826,2,18,14,12,0,0,19,17,0.894736842105263,6,PT240M00.00S,PT240M,123,107,14,16,44,35,22,0.628571428571428,22,32,14,46,7,2,5,53,17,9,0.529411764705882,5,49,20,0.408163265306122,PT45M03.00S,0,100.36,0.612793941809486,8,1,9,43,23,0.5348837209302321,123,107,1
2,34,11.3333333333333,35,24,121-97,11,56-50,10,5,14,10,0.714285714285714,100,0.565,49,0.49,0,11,11,11,0,0,12,8,0.666666666666666,4,PT240M00.00S,PT240M,121,99,23,19,60,49,30,0.612244897959184,17,31,14,45,11,3,8,56,16,7,0.4375,7,40,15,0.375,PT46M38.00S,1,105.28,0.574658054711246,3,0,3,60,34,0.566666666666667,121,99,1
3,29,2.41666666666667,27,15,60-45,9,77-74,4,1,5,3,0.6,94,0.569148936170213,46,0.48936170212766,1,14,12,11,1,0,13,10,0.769230769230769,4,PT240M00.00S,PT240M,117,107,7,16,60,48,30,0.625,17,30,13,43,7,2,5,50,12,7,0.583333333333333,7,39,15,0.384615384615385,PT40M07.00S,8,99.72,0.586642599277978,12,0,12,55,31,0.563636363636364,117,107,1
4,24,2.0,10,5,11-6,8,62-62,3,4,12,5,0.416666666666667,91,0.510989010989011,41,0.450549450549451,1,19,18,17,2,1,25,16,0.64,2,PT240M00.00S,PT240M,109,115,11,6,54,49,27,0.551020408163265,11,34,13,47,9,2,7,56,15,5,0.333333333333333,6,38,11,0.289473684210526,PT10M54.00S,6,102.0,0.534313725490196,12,0,12,53,30,0.566037735849057,109,115,0
5,24,1.84615384615385,18,22,93-71,14,20-9,9,3,13,5,0.384615384615385,93,0.5,39,0.419354838709677,1,10,13,12,0,0,12,11,0.916666666666666,8,PT240M00.00S,PT240M,104,105,12,19,48,48,24,0.5,12,39,14,53,9,4,5,62,11,5,0.45454545454545503,6,38,15,0.394736842105263,PT40M49.06S,4,98.28,0.529100529100529,13,0,13,55,24,0.43636363636363595,104,105,0
6,35,4.375,56,56,62-118,14,21-35,5,3,20,16,0.8,96,0.682291666666667,53,0.552083333333333,2,13,19,17,0,1,11,9,0.818181818181818,4,PT240M00.00S,PT240M,140,88,42,15,54,42,27,0.642857142857143,9,44,7,51,4,1,3,55,8,4,0.5,10,49,25,0.510204081632653,PT46M25.00S,4,100.84,0.694168980563268,7,1,8,47,28,0.595744680851064,140,88,1
7,33,3.66666666666667,33,28,110-138,8,3-8,8,4,9,6,0.666666666666666,94,0.664893617021276,52,0.553191489361702,1,12,15,14,0,0,13,13,1.0,1,PT240M00.00S,PT240M,138,110,18,13,62,45,31,0.688888888888889,15,38,9,47,4,3,1,51,9,7,0.777777777777778,4,43,21,0.48837209302325596,PT46M35.00S,1,99.72,0.69193742478941,9,0,9,51,31,0.607843137254902,138,110,1
8,21,1.5,15,20,95-115,17,89-108,9,5,12,9,0.75,74,0.560810810810811,39,0.527027027027027,2,23,16,14,1,0,37,34,0.918918918918919,10,PT240M00.00S,PT240M,117,99,28,11,64,47,32,0.6808510638297869,6,47,9,56,3,0,3,59,7,3,0.428571428571429,7,22,5,0.22727272727272702,PT33M45.96S,6,90.28,0.6479840496233941,14,0,14,52,34,0.653846153846154,117,99,1
9,27,3.85714285714286,20,20,97-77,10,88-71,4,3,7,4,0.5714285714285711,81,0.660493827160494,46,0.567901234567901,5,15,16,11,1,2,12,9,0.75,4,PT240M00.00S,PT240M,116,102,10,18,58,43,29,0.6744186046511631,8,25,11,36,3,2,1,39,10,3,0.3,8,35,15,0.428571428571429,PT38M46.00S,5,86.28,0.672229949003245,7,0,7,46,31,0.673913043478261,116,102,1
